Farm_ID,Village,District,AP_Zone,Soil_Type_Texture,Season,pH,Farm N%,N kg/ha (0-20cm),P_kgha,K_kgha,OC_Pct,EC_dSm,Depth_cm,WHC_Pct,Compaction,BulkDensity_gcc,Drainage,ErosionRisk,GWDepth_m,Water_mm/ha,Water_Regime,RainReliability,TempC,HeatDays,FrostRisk,Wind_kmph,BioIndex,PestPressure,Earthworms,Slope_pct,FloodRisk,DroughtRisk,Ca_meq,Major Diseases,Major Pests,pH_Class,Farm N%_Class,P_kgha_Class,K_kgha_Class,OC_Pct_Class,EC_dSm_Class,Depth_cm_Class,WHC_Pct_Class,Compaction_Class,BulkDensity_gcc_Class,Drainage_Class,ErosionRisk_Class,GWDepth_m_Class,Water_mm/ha_Class,Water_Regime_Class,RainReliability_Class,TempC_Class,HeatDays_Class,FrostRisk_Class,Wind_kmph_Class,BioIndex_Class,PestPressure_Class,Earthworms_Class,Slope_pct_Class,FloodRisk_Class,DroughtRisk_Class,Ca_meq_Class
F1,Kambadur,Anantapur,ScarceRainfall,Arid/SandyLoam,Kharif,7.1,0.07,1.82,12,85,0.35,0.9,32,18,Low,1.52,Good,Moderate,2.9,725,Supplemental-Irrigation,Low,28-38°C,28,None,16,Medium,Medium,Present,4,Low,Very High,11,"Tikka leaf spot, Stem rot, Dry root rot","Groundnut leaf miner, Tikka, Spodoptera",Ideal,Weak,Weak,Moderate,Weak,Ideal,Weak,Weak,Ideal,Moderate,Ideal,Moderate,Good,Moderate,Moderate,Weak,Ideal,Weak,Ideal,Moderate,Moderate,Moderate,Moderate,Good,Good,Weak,Moderate
F2,Nidubrolu,Guntur,Krishna Delta,Alluvial/ClayLoam,Kharif,6.8,0.12,3.12,25,140,0.85,0.6,120,42,Low,1.32,Poor,Low,1.2,1895,Copious-Irrigation,High,25-35°C,8,None,12,High,High,Abundant,1,High,Low,14,"Blast, BLB, Sheath blight","Rice stem borer, Gall midge, BPH",Ideal,Moderate,Good,Good,Good,Ideal,Ideal,Moderate,Ideal,Ideal,Weak,Ideal,Moderate,Ideal,Ideal,Ideal,Ideal,Good,Ideal,Good,Ideal,Weak,Ideal,Ideal,Weak,Good,Good
F3,Badvel,Kadapa,Southern,RedAndYellow/Loam,Kharif,6.5,0.09,2.34,18,95,0.45,1.2,55,28,Moderate,1.48,Moderate,Moderate,2.2,825,Rain-Fed-Low-Erratic,Medium,26-36°C,22,None,18,Medium,Low,Present,8,Low,High,9,"Fusarium wilt, Bacterial blight","Cotton bollworm (Helicoverpa), Thrips, Aphids",Good,Moderate,Moderate,Moderate,Moderate,Ideal,Moderate,Moderate,Moderate,Good,Moderate,Moderate,Good,Moderate,Very Weak,Moderate,Ideal,Moderate,Ideal,Ideal,Moderate,Ideal,Moderate,Moderate,Good,Weak,Moderate
F4,Pithapuram,East Godavari,Godavari,Alluvial/Loam,Kharif,5.9,0.11,2.86,22,130,0.75,0.8,90,38,Low,1.35,Moderate,Low,1.8,1425,Controlled-Irrigation,High,24-34°C,12,None,22,High,High,Abundant,2,Medium,Medium,12,"Sheath blight, Tungro, Blast","Rice stem borer, GLH, BLB vectors",Moderate,Moderate,Moderate,Good,Good,Ideal,Ideal,Ideal,Ideal,Ideal,Moderate,Ideal,Moderate,Good,Good,Ideal,Ideal,Good,Ideal,Moderate,Ideal,Weak,Ideal,Good,Moderate,Moderate,Moderate
F5,Paderu,Alluri Sitharama Raju,HighAltitudeTribal,ForestMount/Loam,Rabi,5.4,0.1,2.6,20,110,1.1,0.4,75,35,Low,1.28,Good,Low,3.2,975,Rain-Fed-High,Medium,19-29°C,5,Low,25,High,Low,Abundant,12,Low,Medium,8,"Downy mildew, Leaf blights","Maize shootfly, Armyworm, DM vectors",Weak,Ideal,Moderate,Moderate,Ideal,Ideal,Good,Ideal,Ideal,Ideal,Ideal,Ideal,Ideal,Moderate,Weak,Moderate,Moderate,Ideal,Moderate,Weak,Ideal,Ideal,Ideal,Weak,Good,Moderate,Ideal
F6,Markapuram,Prakasam,Krishna,RedAndYellow/SandyLoam,Zaid,7.5,0.06,1.56,10,75,0.3,2.2,45,22,High,1.65,Good,High,2.5,675,Supplemental-Irrigation,Low,29-39°C,30,None,15,Low,Medium,Few,6,Low,Very High,13,"Collar rot, Stem rot","Fall armyworm (Spodoptera frugiperda), Thrips",Good,Weak,Weak,Weak,Weak,Good,Moderate,Moderate,Weak,Weak,Ideal,Weak,Good,Weak,Moderate,Weak,Moderate,Weak,Ideal,Moderate,Weak,Moderate,Weak,Moderate,Good,Weak,Good
F7,Sullurpeta,Tirupati,Southern,Coastal/Sandy,Kharif,6.3,0.08,2.08,15,90,0.5,3.1,60,25,Moderate,1.55,Good,Moderate,1.5,1025,Controlled-Irrigation,Medium,27-37°C,20,None,28,Medium,High,Present,4,Medium,Medium,10,"Anthracnose, Bacterial wilt","Whitefly (Bemisia tabaci), Chilli thrips, Fruit borer",Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Good,Moderate,Moderate,Moderate,Ideal,Moderate,Moderate,Good,Good,Moderate,Ideal,Moderate,Ideal,Ideal,Moderate,Weak,Moderate,Good,Moderate,Moderate,Moderate
F8,Alur,Kurnool,ScarceRainfall,Black/Clay,Rabi,8.1,0.13,3.38,28,160,0.95,1,150,48,Moderate,1.45,Poor,Low,2,1275,Copious-Irrigation,Low,25-35°C,18,None,14,High,Medium,Abundant,2,Low,High,18,"Gram wilt, Root rot, Rust","Bengal gram pod borer (Helicoverpa), Aphids",Moderate,Good,Good,Good,Ideal,Ideal,Ideal,Weak,Moderate,Good,Weak,Ideal,Good,Good,Ideal,Weak,Ideal,Moderate,Ideal,Good,Ideal,Moderate,Ideal,Good,Good,Weak,Ideal
F9,Gumlapadu,Nandyal,ScarceRainfall,RedAndYellow/ClayLoam,Kharif,6.9,0.08,2.08,16,100,0.55,0.7,65,32,Low,1.42,Moderate,Moderate,2.4,525,Rain-Fed-Low-Erratic,Low,27-37°C,25,None,17,Medium,Low,Present,10,Low,High,11,"Pulse wilt, Alternaria","Thrips/Jassids, Leaf roller, Stem fly",Ideal,Moderate,Moderate,Moderate,Moderate,Ideal,Good,Ideal,Ideal,Good,Moderate,Moderate,Good,Weak,Very Weak,Weak,Ideal,Ideal,Ideal,Moderate,Moderate,Ideal,Moderate,Moderate,Good,Weak,Moderate
F10,Anakapalle,Anakapalle,NorthCoastal,Alluvial/SiltLoam,Kharif,6.2,0.14,3.64,24,135,0.8,0.5,85,36,Low,1.3,Moderate,Low,1.9,1895,Copious-Irrigation,High,23-33°C,10,None,20,High,High,Abundant,3,Medium,Low,13,"Sheath rot, False smut","Rice leaf folder, Stemborer, Coconut BHC",Moderate,Good,Moderate,Good,Good,Ideal,Good,Ideal,Ideal,Ideal,Moderate,Ideal,Moderate,Ideal,Ideal,Ideal,Ideal,Good,Ideal,Moderate,Ideal,Weak,Ideal,Good,Moderate,Good,Good
