Parameter,Groundnut,Sunflower,Castor,Mustard,Sesame
Crop Common Name,Groundnut,Sunflower,Castor,Mustard,Sesame
Crop Scientific Name,Arachis hypogaea,Helianthus annuus,Ricinus communis,Brassica juncea,Sesamum indicum
Crop Family Name,Fabaceae,Asteraceae,Euphorbiaceae,Brassicaceae,Pedaliaceae
Crop Functional Group,Oilseed / C3 plant,Oilseed / C3 plant,Oilseed / C3 plant,Oilseed / C3 plant,Oilseed / C3 plant
Crop Height Meters (Value),0.2 - 0.5 m,1.0 - 2.5 m,1.0 - 4.0 m,0.6 - 1.8 m,0.5 - 1.5 m
"Crop Height Class (Extra Low: <0.3 m (groundcover, herbs)
Low: 0.3–1.0 m (annuals, small shrubs)
Medium Low: 1.0–3.0 m (bushes, small trees)
Medium: 3.0–8.0 m (medium trees like mango, guava)
Tall: 8.0–20 m (large trees: neem, teak)
Very Tall: >20 m (towering: coconut, tall eucalyptus))",Low,Medium Low,Medium Low to Medium,Low to Medium Low,Low to Medium Low
"Canopy density (Very Sparse: <20% cover
Sparse: 20-40%
Medium: 40-70%
Dense: 70-90%
Very Dense: >90%)",Dense,Medium,Medium,Medium,Sparse
Canopy Spread  Meters (Value),0.3 - 0.6 m,0.5 - 0.8 m,0.8 - 1.5 m,0.3 - 0.5 m,0.2 - 0.4 m
"Canopy Spread (Very Narrow: <1 m
Narrow: 1-3 m
Medium: 3-6 m
Wide: 6-10 m
Very Wide: >10 m)",Narrow,Narrow,Medium,Narrow,Very Narrow
"Growth Habit (Erect, semi-erect, bushy, prostrate, climbing, Trees: Spreading, Weeping, Columnar, Round-headed, Umbrella-shaped)",Erect / Spreading / Bunch,Erect,Erect / Branching,Erect / Branching,Erect
"Root Depth Class (Very Shallow: <20 cm
Shallow: 20–50 cm
Medium: 50–100 cm
Deep: 1–3 m
Very Deep: >3 m (deep taproots: teak))",Medium,Deep,Very Deep,Medium,Medium
"Root Spread (Narrow: <2 m
Medium: 2–5 m
Wide: 5–10 m
Very Wide: >10 m)",Narrow,Medium,Wide,Narrow,Narrow
Growth Duration Days,100 - 130,90 - 110,150 - 210,110 - 140,80 - 100
"Growth Duration Class (Short (<90 days, Medium (90-150 Days), Long (>150 days))",Medium,Medium,Long,Medium,Short
Water Demand Value (Numeric (mm/Season/Hectare)),450 - 600,500 - 700,500 - 800,300 - 450,250 - 400
"Water Demand class (Low (<400 mm), Medium (400–800 mm), High (800–1200 mm), Very High (>1200 mm))",Medium,Medium,Medium,Low,Low
Nitrogen Demand Value (Numeric (kg/ha)),20 - 40,60 - 80,40 - 80,60 - 100,30 - 50
"Nitrogen Demand Class (Low, Medium, High)",Low,Medium,Medium,Medium,Low
Phosphorus Demand Value (Numeric (kg/ha)),40 - 60,60 - 90,30 - 50,30 - 50,20 - 40
"Phosphorus Demand Class (Low, Medium, High)",Medium,High,Medium,Medium,Low
Potasium Demand Value (Numeric (kg/ha)),30 - 50,40 - 60,20 - 40,20 - 40,20 - 40
"Potasium Demand Class (Low, Medium, High)",Medium,Medium,Low,Low,Low
"Calcium Demand Class (Low, Medium, High)",High,Medium,Low,Low,Low
Min pH (Numeric),6.0,6.5,5.0,6.0,5.5
Max pH (Numeric),7.5,8.0,8.0,7.5,7.5
"Preferred Texture (Sand, Sandy Loam, Loam, Clay Loam, Clay)","Sandy Loam, Loam","Loam, Clay Loam","Sandy Loam, Loam","Loam, Clay Loam","Sandy Loam, Loam"
Min Soil Depth (Numeric (cm)),45,60,60,45,40
Max Slope (Numeric (%)),10,10,15,10,15
"Conducive Slope Class (Steep, moderate, Flat)",Flat to Moderate,Flat to Moderate,Flat to Moderate,Flat to Moderate,Flat to Moderate
All Critical Mineral Names and Their Min Required Conc,"N, P, K, Ca, S, B, Zn","N, P, K, B, S, Zn","N, P, K, S, Zn, Mg","N, P, K, S, B, Zn","N, P, K, S, Zn"
Standing Water Requirement (Yes/No),No,No,No,No,No
"Sensitivity to Nitrogen (Low, Medium, High)",Low,High,Medium,High,Low
"Sensitivity to Phosphorus (Low, Medium, High)",Medium,High,Medium,Medium,Low
"Sensitivity to Potassium (Low, Medium, High)",Medium,Medium,Low,Low,Low
"Sensitivity to Organic Carbon (Low, Medium, High)",Medium,Medium,Medium,Medium,Low
"Sensitivity to pH (Low, Medium, High)",Medium,Medium,Medium,Medium,Low
"Sensitivity to EC (Low, Medium, High)",Medium,Medium,Low,Medium,Low
"Sensitivity to Texture (Low, Medium, High)",Medium,Medium,Medium,Medium,Low
