Parameter,Arecanut,Cocoa,Coffee,Tea,Pepper,Cloves,Betel Leaf,Cardamom
CropID,CRP0076,CRP0077,CRP0078,CRP0079,CRP0080,CRP0081,CRP0082,CRP0083
Crop Common Name,Arecanut,Cocoa,Coffee,Tea,Pepper,Cloves,Betel Leaf,Cardamom
Crop Scientific Name,Areca catechu,Theobroma cacao,Coffea spp.,Camellia sinensis,Piper nigrum,Syzygium aromaticum,Piper betle,Elettaria cardamomum
Crop Family Name,Arecaceae,Malvaceae,Rubiaceae,Theaceae,Piperaceae,Myrtaceae,Piperaceae,Zingiberaceae
Crop Functional Group,Plantation / Perennial C3,Plantation / Perennial C3,Plantation / Perennial C3,Plantation / Perennial C3,Spice / Perennial C3,Spice / Perennial C3,Spice / Climber C3,Spice / Perennial C3
Crop Height Meters (Value),15.0 - 25.0 m,4.0 - 8.0 m,3.0 - 6.0 m,1.0 - 1.5 m (Pruned),3.0 - 10.0 m (Climber),8.0 - 12.0 m,2.0 - 5.0 m (Climber),2.0 - 4.0 m
"Crop Height Class (Extra Low: <0.3 m (groundcover, herbs)
Low: 0.3–1.0 m (annuals, small shrubs)
Medium Low: 1.0–3.0 m (bushes, small trees)
Medium: 3.0–8.0 m (medium trees like mango, guava)
Tall: 8.0–20 m (large trees: neem, teak)
Very Tall: >20 m (towering: coconut, tall eucalyptus))",Very Tall,Medium,Medium,Medium Low,Tall,Tall,Medium Low,Medium
"Canopy density (Very Sparse: <20% cover
Sparse: 20-40%
Medium: 40-70%
Dense: 70-90%
Very Dense: >90%)",Sparse,Dense,Dense,Very Dense,Dense,Very Dense,Dense,Dense
Canopy Spread  Meters (Value),2.0 - 3.5 m,4.0 - 6.0 m,3.0 - 4.5 m,1.0 - 2.0 m,1.0 - 2.0 m,4.0 - 6.0 m,0.5 - 1.5 m,1.5 - 3.0 m
"Canopy Spread (Very Narrow: <1 m
Narrow: 1-3 m
Medium: 3-6 m
Wide: 6-10 m
Very Wide: >10 m)",Narrow,Medium,Medium,Narrow,Narrow,Medium,Narrow,Narrow
"Growth Habit (Erect, semi-erect, bushy, prostrate, climbing, Trees: Spreading, Weeping, Columnar, Round-headed, Umbrella-shaped)",Columnar / Palm,Erect / Branching,Erect / Shrubby,Bushy,Climbing,Erect / Pyramidal,Climbing,Erect / Tufted
"Root Depth Class (Very Shallow: <20 cm
Shallow: 20–50 cm
Medium: 50–100 cm
Deep: 1–3 m
Very Deep: >3 m (deep taproots: teak))",Deep,Deep,Deep,Deep,Deep,Deep,Medium,Medium
"Root Spread (Narrow: <2 m
Medium: 2–5 m
Wide: 5–10 m
Very Wide: >10 m)",Narrow,Medium,Medium,Medium,Narrow,Medium,Narrow,Narrow
Growth Duration Days,Perennial,Perennial,Perennial,Perennial,Perennial,Perennial,Perennial,Perennial
"Growth Duration Class (Short (<90 days, Medium (90-150 Days), Long (>150 days))",Long,Long,Long,Long,Long,Long,Medium,Long
Water Demand Value (Numeric (mm/Season/Hectare)),1500 - 3000,1200 - 2500,1500 - 2500,1500 - 3000,2000 - 3500,1500 - 2500,1500 - 2500,1500 - 3500
"Water Demand class (Low (<400 mm), Medium (400–800 mm), High (800–1200 mm), Very High (>1200 mm))",High,High,High,Very High,Very High,High,High,Very High
Nitrogen Demand Value (Numeric (kg/ha)),100 - 150,100 - 150,120 - 160,150 - 300,100 - 150,100 - 150,150 - 200,75 - 125
"Nitrogen Demand Class (Low, Medium, High)",High,High,High,High,High,High,High,Medium
Phosphorus Demand Value (Numeric (kg/ha)),40 - 60,40 - 60,60 - 90,40 - 80,40 - 60,40 - 60,80 - 120,50 - 75
"Phosphorus Demand Class (Low, Medium, High)",Medium,Medium,High,Medium,Medium,Medium,High,Medium
Potasium Demand Value (Numeric (kg/ha)),140 - 200,100 - 150,120 - 160,100 - 150,140 - 200,100 - 150,100 - 150,150 - 250
"Potasium Demand Class (Low, Medium, High)",High,High,High,High,High,High,High,High
"Calcium Demand Class (Low, Medium, High)",High,High,High,High,High,High,High,High
Min pH (Numeric),5,6,5,4.5,5,4.5,6,5
Max pH (Numeric),7.5,7.5,6.5,5.5,6.5,6,7.5,6.5
"Preferred Texture (Sand, Sandy Loam, Loam, Clay Loam, Clay)","Loam, Sandy Loam, Lateritic","Loam, Alluvial","Loam, Sandy Loam","Loam, Sandy Loam","Loam, Red Soil","Loam, Red Soil","Loam, Alluvial","Loam, Red Soil"
Min Soil Depth (Numeric (cm)),60,60,60,60,60,60,60,60
Max Slope (Numeric (%)),15,20,15,15,15,20,10,15
"Conducive Slope Class (Steep, moderate, Flat)",Moderate,Flat,Steep,Steep,Steep,Steep,Flat,Steep
All Critical Mineral Names and Their Min Required Conc,"N, P, K, Mg, Zn, B","N, P, K, Mg, Zn","N, P, K, Mg, Zn, B","N, P, K, Mg, S, Zn","N, P, K, Mg, Zn","N, P, K, Mg","N, P, K, Mg","N, P, K, Mg, Zn, B"
Standing Water Requirement (Yes/No),No,No,No,No,No,No,No,No
"Sensitivity to Nitrogen (Low, Medium, High)",High,Medium,Medium,Low,High,Low,High,Medium
"Sensitivity to Phosphorus (Low, Medium, High)",High,Medium,Medium,Low,High,Low,High,Medium
"Sensitivity to Potassium (Low, Medium, High)",Medium,Medium,Medium,Medium,Medium,Low,Low,High
"Sensitivity to Organic Carbon (Low, Medium, High)",Medium,Medium,Medium,Medium,Medium,Low,Medium,High
"Sensitivity to pH (Low, Medium, High)",Low,Medium,Medium,Medium,Low,Low,Medium,Medium
