CropID,Agri / Horti Category,Sub-Category,Crop Name,Botanical Name,Produces (MF List),Requires (MF List),Suppresses (MF List),Key Light MF (Spectral Zone),Key Soil MF (Physical+Bio),Key Water MF (Moisture+RF),Validated Insight,Companion Crops (AP Recommended),Ontology Design Note (Rule / Flag)
CRP0001,Agricultural,Cereals,Paddy Rice,Oryza sativa,"MF2,MF5,MF6,MF8,MF9,MF12,MF14,MF17,MF18,MF22,MF24,MF25","MF3G,MF8,MF9,MF11","MF3G,MF10,MF13,MF15",MF2 (dense shade on water surface),"MF16,MF17,MF24,MF25","MF8,MF9,MF14",Flooded paddy RETAINS moisture and microclimate — it does not trap. Flooded anaerobic conditions actively support methanogenic and nitrogen-cycling microbiomes that are unique to rice systems. Full ground sun on dry paddy soils between seasons makes soil sterile and inactivates microbiome — must never leave dry paddy fields bare.,"Azolla (MF23 booster), Sesbania (green manure), Duck farming integration",MF22 risk is real in dense stands — pair with MF13 in bunded layout. MF3G after harvest = microbiome risk: flag for cover crop requirement.
CRP0002,Agricultural,Cereals,Maize,Zea mays,"MF1,MF2,MF3U,MF11,MF12,MF14,MF16,MF19,MF20,MF24,MF25,MF27","MF3U,MF13","MF3G,MF3L,MF10,MF13",MF3U (upper canopy 2–4m); MF1 partial shade at mid-tier,"MF16,MF24,MF27","MF9,MF14","Tall maize creates UPPER canopy sun effect (MF3U) at 2–4m height — heat accumulation occurs at canopy level, not ground. Lower zones receive partial shade (MF1). Evapotranspiration at canopy level reduces humidity above — not same as ground drying (MF10). Canopy cooling retains microclimate stability in mid and lower tiers. Deep biopore roots (MF16) persist 2–3 seasons after crop.","Cowpea (MF23), Red Gram (MF23+MF27), Pumpkin (MF17+MF18)","Three-tier rule applies: MF3U at top, MF1 at 1–2m, MF3G only if inter-row is unshaded. Intercrop design must specify height band of each companion."
CRP0003,Agricultural,Cereals,Jowar (Sorghum),Sorghum bicolor,"MF3G,MF3L,MF10,MF13,MF15,MF16,MF19,MF20,MF24,MF25","MF3G,MF3L,MF11,MF15","MF1,MF2,MF6,MF8,MF9,MF14",MF3G (0–1m); MF3L (1–2m) — both lower bands exposed,"MF16,MF24,MF25","MF10,MF15","Jowar is a dry microclimate crop — it REQUIREs MF15 (dry atmosphere) and produces MF10 (rapid drying). SUPPRESSES moisture and shade features. Ground-level sun exposure means MF3G is active: risk of soil sterilisation between rows. Alley cropping with legume hedgerows (Red Gram, Sesbania) is critical to protect inter-row soil biology. Deep allelopathic root residues — rotation management needed.","Red Gram (border, MF1 shade + MF23), Horsegram (MF10-tolerant), Sesbania (green manure bund)",MF3G is active in inter-row — FLAG: soil microbiome protection needed. Pair MF15 (dry) crops with MF21 (trap crop) for pest diversion. Avoid dense spacing — MF12 stagnation risk.
CRP0004,Agricultural,Cereals,Bajra (Pearl Millet),Pennisetum glaucum,"MF3G,MF3L,MF10,MF13,MF15,MF16,MF19,MF20,MF24,MF25","MF3G,MF3L,MF11,MF15","MF1,MF2,MF6,MF8,MF9,MF14",MF3G (0–1m); MF3L (1–2m),"MF16,MF24,MF25","MF10,MF15",Extremely drought-tolerant; sandy soil specialist. Similar to Jowar in MF profile but more extreme in dry microclimate dependency (MF15). Inter-row bare soil is the primary soil health risk — ground sun (MF3G) inactivates microbiome rapidly in sandy red soils. Intercrop with cowpea or moth bean on every third row to protect soil life.,"Cowpea (MF23+MF18), Moth Bean, Cluster Bean (Guar)",Sandy soil alert: MF10+MF15 cascade is faster and more damaging in sandy soils than in clay. Mandatory: inter-row cover crop or mulch to prevent MF3G→soil sterility cascade.
CRP0005,Agricultural,Cereals,Ragi (Finger Millet),Eleusine coracana,"MF3G,MF3L,MF13,MF16,MF24,MF25","MF3G,MF3L,MF13","MF1,MF2,MF10,MF14,MF15,MF18",MF3G+MF3L (ground-hugging; 0–2m exposure),"MF16,MF24,MF25",MF10,Ground-hugging crop — dense tillering physically covers soil better than taller crops. Suppresses MF18 (weed suppression) as a co-benefit of dense canopy coverage. SUPPRESSES MF10 through dense crop mat cover. Deep fibrous roots create excellent biopore network that benefits next-season crops. Good erosion buffer on slopes (MF25). Avoid dense shade companions — it actively suppresses MF1 and MF2.,"Groundnut (MF3G companion), Horse Gram, Niger",Ragi's tillering density naturally provides MF18 — no herbicide needed if stand is established. Rotation: follow with Red Gram for MF23 N-fixation benefit.
CRP0006,Agricultural,Cereals,Wheat,Triticum aestivum,"MF3G,MF3L,MF13,MF16,MF24,MF25","MF3G,MF11,MF13","MF2,MF14",MF3G+MF3L (winter crop; lower solar angle),"MF16,MF24,MF25","MF9,MF10",Rabi (winter) crop — lower temperature means MF3G does not trigger the soil sterilisation cascade that occurs in summer. Residue mulch post-harvest is critical (MF17) to protect soil entering the hot season. Requires MF11 (wind barrier) protection from dry winter winds in Rayalaseema. Stubble incorporation builds SOM but C:N management needed.,"Mustard (border, MF19+MF21), Chickpea (MF23), Lentil",Rabi season exception: MF3G in winter does NOT carry same microbiome risk as summer. Flag seasonal context in rule engine. Post-harvest MF17 is mandatory for summer transition.
CRP0007,Agricultural,Minor Millets,Foxtail Millet (Korralu),Setaria italica (Poaceae),"MF2,MF11,MF14,MF19,MF24,MF25","MF3G,MF8,MF9","MF10,MF13",MF2 (short dense canopy 0.6–1.0m),"MF17,MF24","MF8,MF9,MF14",Short-duration millet (60–90 days) — ideal as intercrop or quick cover. MF14 drought tolerance makes it suitable for rainfed fallows. MF17 topsoil structure benefit from fibrous roots. Activates MF19 through rapid grain formation.,"Black Gram (MF23), Sesame (MF23)",FLAG: Short crop cycle means MF3G exposure between crops — mandatory cover crop or mulch protocol after harvest.
CRP0008,Agricultural,Minor Millets,Little Millet (Samalu),Panicum sumatrense (Poaceae),"MF2,MF11,MF14,MF19,MF24","MF3G,MF8","MF10,MF13",MF2 (low canopy 0.5–0.8m),"MF17,MF24","MF8,MF14",Little millet thrives in poor soils — activates MF14 in low-fertility red soils. Minimal input requirement makes it a natural-farming-compatible cash crop. MF24 (mineral weathering) supported by fibrous root exudates.,"Cowpea (MF23), Horse Gram (MF23)",Best suited for marginal red soils in AP uplands — include in dryland crop rotation designs.
CRP0009,Agricultural,Minor Millets,Barnyard Millet (Udalu),Echinochloa frumentacea (Poaceae),"MF2,MF11,MF14,MF19,MF24","MF3G,MF8","MF10,MF13,MF15",MF2 (short canopy 0.6–1.0m),"MF17,MF24","MF8,MF9,MF14",Barnyard millet tolerates waterlogged and poorly drained soils — unique among millets for MF8/MF9 moisture tolerance. Dual use as grain and fodder. MF15 (anaerobic stress MF) activated in heavy soils.,"Green Gram (MF23), Cowpea (MF23)",Waterlogging tolerance is key differentiator — include in wet upland or bunded field designs.
CRP0010,Agricultural,Minor Millets,Proso Millet (Varigalu),Panicum miliaceum (Poaceae),"MF2,MF11,MF14,MF19,MF24","MF3G,MF8","MF10,MF13",MF2 (short canopy 0.4–0.7m),"MF17,MF24","MF8,MF14",Fastest-maturing millet (60–75 days) — activates MF19 rapidly. Excellent for intercropping and relay systems. MF14 drought tolerance. Shallow fibrous roots contribute to MF17 surface tilth.,"Green Gram (MF23), Sesame (MF23)",Very short crop window — useful in relay systems; plan MF3G mitigation post-harvest with quick-cover legume.
